label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
open,0.000000,0.000000,0.000000,-0.161675,-0.076254,-0.046613,-0.291080,-0.191527,-0.071152,-0.387731,-0.291590,-0.094584,-0.445287,-0.401893,-0.116157,-0.177082,-0.495533,-0.017659,-0.239615,-0.689397,-0.046681,-0.276906,-0.804408,-0.076325,-0.302328,-0.906419,-0.099982,-0.081939,-0.527213,-0.027681,-0.113065,-0.752602,-0.049153,-0.131358,-0.888119,-0.076513,-0.142475,-1.000000,-0.098577,0.010307,-0.510816,-0.047736,0.021183,-0.722001,-0.081955,0.027470,-0.854257,-0.110241,0.029785,-0.975502,-0.130648,0.099711,-0.453949,-0.072315,0.147427,-0.613019,-0.110005,0.176606,-0.713105,-0.126845,0.199177,-0.812801,-0.137035
open,0.010145,-0.008738,0.007928,-0.152850,-0.074855,-0.036966,-0.290092,-0.198284,-0.072474,-0.394268,-0.289716,-0.093939,-0.441047,-0.401298,-0.116065,-0.175764,-0.490531,-0.024617,-0.244892,-0.689853,-0.050884,-0.281988,-0.807389,-0.065081,-0.311517,-0.912835,-0.107704,-0.083334,-0.527442,-0.024381,-0.112675,-0.762626,-0.040827,-0.132482,-0.893698,-0.075244,-0.136346,-0.993553,-0.094502,0.017874,-0.529157,-0.055398,0.012153,-0.730716,-0.091528,0.023234,-0.841206,-0.107345,0.034072,-0.981171,-0.126525,0.096280,-0.454364,-0.060533,0.153217,-0.617018,-0.117532,0.177957,-0.721784,-0.122127,0.203801,-0.819136,-0.143656
open,-0.005594,0.004811,-0.000929,-0.161024,-0.080742,-0.049046,-0.292808,-0.192772,-0.069734,-0.395348,-0.289903,-0.100902,-0.442541,-0.408283,-0.116180,-0.183404,-0.495851,-0.015558,-0.233798,-0.683483,-0.037610,-0.276669,-0.814226,-0.073180,-0.302812,-0.906322,-0.097767,-0.089123,-0.532142,-0.025345,-0.108353,-0.751246,-0.045315,-0.126911,-0.891809,-0.077025,-0.132176,-1.007754,-0.104750,0.010640,-0.504531,-0.050231,0.014469,-0.718585,-0.081613,0.026034,-0.853677,-0.103715,0.026019,-0.976129,-0.128224,0.107338,-0.448999,-0.077976,0.143019,-0.616180,-0.111636,0.180755,-0.706711,-0.121763,0.197408,-0.813519,-0.133447
open,-0.002496,-0.017344,0.000668,-0.168002,-0.071313,-0.047373,-0.293891,-0.189662,-0.070915,-0.384212,-0.294290,-0.099710,-0.447091,-0.407127,-0.124787,-0.172892,-0.504036,-0.020237,-0.223472,-0.678011,-0.044348,-0.272761,-0.800375,-0.078856,-0.298227,-0.909729,-0.097344,-0.082011,-0.534276,-0.030997,-0.109155,-0.750832,-0.054084,-0.133325,-0.878893,-0.073055,-0.135569,-0.985258,-0.100926,0.019760,-0.516173,-0.048067,0.007453,-0.727688,-0.087800,0.015971,-0.852527,-0.115808,0.036049,-0.968201,-0.128918,0.093974,-0.454879,-0.082002,0.148698,-0.600765,-0.116791,0.177013,-0.698057,-0.111848,0.198062,-0.806448,-0.143692
open,0.000000,0.000000,0.000000,-0.154835,-0.050932,-0.059371,-0.279778,-0.167434,-0.090491,-0.374122,-0.273235,-0.117249,-0.446446,-0.373483,-0.142293,-0.172545,-0.495094,-0.038543,-0.234813,-0.688350,-0.072157,-0.272038,-0.804540,-0.104569,-0.296866,-0.904894,-0.131029,-0.077827,-0.534127,-0.044768,-0.108225,-0.755633,-0.069756,-0.127793,-0.892079,-0.099087,-0.142291,-1.000000,-0.123754,0.015441,-0.520672,-0.061118,0.025590,-0.733172,-0.097021,0.029144,-0.864785,-0.128306,0.026304,-0.982612,-0.152756,0.103820,-0.466557,-0.082988,0.155657,-0.618651,-0.122410,0.186440,-0.719330,-0.143607,0.210190,-0.817238,-0.158624
open,0.009875,0.005705,0.004749,-0.157897,-0.053937,-0.064010,-0.283693,-0.160880,-0.101712,-0.371395,-0.285280,-0.115725,-0.442650,-0.376772,-0.147232,-0.164672,-0.498921,-0.038244,-0.228332,-0.678093,-0.074260,-0.279801,-0.808411,-0.109266,-0.304485,-0.909220,-0.120344,-0.082589,-0.535304,-0.042610,-0.109261,-0.755583,-0.065281,-0.131335,-0.894717,-0.096507,-0.140652,-1.003706,-0.115582,0.019381,-0.528468,-0.064384,0.034959,-0.734336,-0.093722,0.030490,-0.865450,-0.129009,0.028362,-0.986912,-0.155304,0.107689,-0.465791,-0.086338,0.142738,-0.618310,-0.129196,0.188146,-0.713073,-0.144033,0.208187,-0.821459,-0.156267
open,0.003023,0.003310,-0.004334,-0.158351,-0.052459,-0.056712,-0.276036,-0.178011,-0.082303,-0.365529,-0.275293,-0.114197,-0.443988,-0.371583,-0.133939,-0.174215,-0.492311,-0.030092,-0.236230,-0.686896,-0.062613,-0.272699,-0.806077,-0.107115,-0.299828,-0.896963,-0.138548,-0.081124,-0.537163,-0.040678,-0.109308,-0.766009,-0.064274,-0.126345,-0.903294,-0.109229,-0.152055,-1.000620,-0.128013,0.009360,-0.525288,-0.050364,0.029127,-0.741966,-0.099953,0.033532,-0.866366,-0.122173,0.033132,-0.986133,-0.140059,0.101139,-0.466177,-0.091708,0.148552,-0.617428,-0.118611,0.184455,-0.721292,-0.150616,0.218869,-0.821413,-0.144717
open,-0.000965,-0.002850,-0.001039,-0.149144,-0.061294,-0.066468,-0.275627,-0.170319,-0.092521,-0.373244,-0.269684,-0.109672,-0.448240,-0.379706,-0.148325,-0.169784,-0.502328,-0.040454,-0.228636,-0.697532,-0.074183,-0.275870,-0.809071,-0.103465,-0.296605,-0.907867,-0.128300,-0.072658,-0.533294,-0.054871,-0.109563,-0.742237,-0.067545,-0.125075,-0.893611,-0.096801,-0.140448,-1.004272,-0.124558,0.019927,-0.520279,-0.060254,0.019447,-0.729654,-0.100349,0.031236,-0.870024,-0.130289,0.029026,-0.982002,-0.156324,0.106122,-0.468056,-0.087607,0.143980,-0.620108,-0.124775,0.189384,-0.724642,-0.147285,0.209112,-0.814223,-0.154099
open,0.000000,0.000000,0.000000,-0.152694,-0.051102,-0.059429,-0.275010,-0.166872,-0.091065,-0.365651,-0.272064,-0.118077,-0.436487,-0.366582,-0.143766,-0.165782,-0.490492,-0.045154,-0.224742,-0.685259,-0.080896,-0.261788,-0.802041,-0.114225,-0.287354,-0.903493,-0.140979,-0.070826,-0.528043,-0.051395,-0.096588,-0.751216,-0.077988,-0.113576,-0.889149,-0.107293,-0.125426,-1.000000,-0.131633,0.021597,-0.512505,-0.067273,0.033572,-0.726893,-0.104291,0.038342,-0.856993,-0.135169,0.037540,-0.973964,-0.159003,0.108129,-0.455530,-0.088603,0.162115,-0.607884,-0.128874,0.193181,-0.709038,-0.149871,0.217501,-0.808408,-0.164440
open,0.008750,-0.013685,-0.000334,-0.158653,-0.051340,-0.066290,-0.277180,-0.164040,-0.083617,-0.354319,-0.270226,-0.123455,-0.433430,-0.369040,-0.147014,-0.155128,-0.486226,-0.040678,-0.227143,-0.698527,-0.078439,-0.266938,-0.787626,-0.112999,-0.284419,-0.908716,-0.139394,-0.077004,-0.529801,-0.046977,-0.096013,-0.750549,-0.076592,-0.096116,-0.883129,-0.104644,-0.128779,-0.991506,-0.140786,0.021297,-0.510898,-0.065971,0.028371,-0.725809,-0.098667,0.039359,-0.858300,-0.129009,0.047149,-0.976425,-0.151156,0.094487,-0.455166,-0.091163,0.169519,-0.609115,-0.120153,0.198886,-0.701995,-0.153537,0.217904,-0.810926,-0.154529
